Name,CMP,ATH%,PE,EPS,PB,MCap,ROCE%,ROE%,Sales_Grwth%,Profit_Grwth%,MedPE,ROCE_5Yr%,ROE_5Yr%,Debt2EqR,PAT_12M,CFO_2_EBITDA%,CapType,Symbol,Latest,Category
https://www.screener.in/company/ADANIENT/consolidated/,2534.2,65.34,66.63,61.62,5.81,292545.04,9.45,9.82,1.53,25.08,104.24,0.15,8.55,1.82,8004.99,27.53,LC,ADANIENT,1,LC
https://www.screener.in/company/BEL/consolidated/,390.7,1.61,53.64,7.28,14.3,285447.98,38.99,29.32,17.27,34.2,26.65,0.55,24.44,0,5322.68,7.74,LC,BEL,1,LC
https://www.screener.in/company/POWERGRID/consolidated/,295.8,23.82,17.72,16.69,2.97,275111.86,12.89,17.26,-0.11,-4,10.77,0.97,18.73,1.41,15521.44,88.57,LC,POWERGRID,1,LC
https://www.screener.in/company/DMART/consolidated/,4201.6,40.42,101.01,41.61,12.76,273477.85,18.02,13.49,16.87,7.56,123.18,0.13,13.25,0.04,2707.45,53.41,LC,DMART,1,LC
https://www.screener.in/company/TATAMOTORS/consolidated/,711,65.83,9.27,75.6,2.25,261770.4,19.97,28.08,1.31,-12.24,15.89,3.03,16.99,0.62,28149,100.69,LC,TATAMOTORS,1,LC
https://www.screener.in/company/WIPRO/consolidated/,248.59,48.81,19.9,12.54,3.14,260542.41,19.51,16.59,-0.75,20.2,22.03,0.83,17.06,0.23,13218,77.47,LC,WIPRO,1,LC
https://www.screener.in/company/ETERNAL/consolidated/,261.86,16.36,479.53,0.55,8.34,252713.94,3.18,2.08,67.1,135.86,360.99,0,-3.05,0.07,527,17.97,LC,ETERNAL,1,LC
https://www.screener.in/company/COALINDIA/consolidated/,398.95,36.53,6.96,57.37,2.48,245830.92,48.04,38.83,0.73,-5.5,6.6,5.58,46.54,0.09,35302.1,51.23,LC,COALINDIA,1,LC
https://www.screener.in/company/JSWSTEEL/consolidated/,1004.9,6.97,64.51,14.33,3.09,245769.04,8.03,4.85,-3.53,-54.9,26.96,0.08,14.33,1.24,3491,89.75,LC,JSWSTEEL,1,LC
https://www.screener.in/company/BAJAJ-AUTO/consolidated/,8637,47.9,32.92,262.29,6.85,241139.85,28.14,22.84,13.65,-5.15,21.76,0.69,21.82,0.27,7324.73,59.48,LC,BAJAJ-AUTO,1,LC
https://www.screener.in/company/NESTLEIND/,2417.2,14.93,75.28,34.38,56.61,233056.07,95.66,83.02,-17.19,-21.11,78.83,1.1,107.79,0.28,3314.5,60.79,LC,NESTLEIND,1,LC
https://www.screener.in/company/DLF/consolidated/,880.35,39.15,47.61,17.64,5.12,217980.07,6.51,11.17,24.38,70.91,56.91,0.23,6.45,0.1,4366.82,168.29,LC,DLF,1,LC
https://www.screener.in/company/ASIANPAINT/consolidated/,2245.2,59.9,54.83,38.23,11.1,215363.88,25.73,20.61,-4.48,-28.04,76.41,0.38,25.92,0.12,3709.71,65.84,LC,ASIANPAINT,1,LC
https://www.screener.in/company/ADANIPOWER/consolidated/,555.25,61.5,16.78,33.55,3.8,214176.09,22.54,25.72,11.62,-38.74,14.54,1.53,37.27,0.7,12749.61,89.5,LC,ADANIPOWER,1,LC
https://www.screener.in/company/HINDZINC/,502.25,60.82,20.5,24.33,15.97,212001.02,60.81,72.52,17.4,33.03,15.46,3.54,37.77,0.82,10279,77.23,LC,HINDZINC,1,LC
https://www.screener.in/company/INDIGO/,5480.5,3.38,29.2,187.7,22.76,211803.55,19.56,129.08,17.27,1.13,23.43,4.42,,7.21,7253.3,112.91,LC,INDIGO,1,LC
https://www.screener.in/company/TRENT/consolidated/,5777,44.47,133.83,43.51,37.6,205347.01,31.71,32.2,38.46,69.56,179.03,0.24,17.19,0.41,1534.41,54.22,LC,TRENT,1,LC
https://www.screener.in/company/IOC/consolidated/,140.78,39.79,16.38,9.63,1.07,198713.16,7.37,6.56,-2.35,-70.74,5.78,0.4,15.52,0.82,13788.83,84.09,LC,IOC,1,LC
https://www.screener.in/company/TATASTEEL/consolidated/,157.49,17.21,56.22,2.74,2.16,196565.74,9.08,3.82,-4.64,-45.29,17.82,0.07,14.09,1.04,3173.78,86.98,LC,TATASTEEL,1,LC
https://www.screener.in/company/IRFC/,146.41,56.44,29.44,4.98,3.63,191428.24,5.83,12.77,1.9,1.4,7.15,0.43,13.94,7.83,6502,30.48,LC,IRFC,1,LC
https://www.screener.in/company/JIOFIN/consolidated/,294,34.25,115.87,2.54,1.51,186850.65,1.47,1.23,10.15,0.5,120.53,0.01,,0.03,1612.59,-510.01,LC,JIOFIN,1,LC
https://www.screener.in/company/SBILIFE/,1780.6,8.73,73.97,24.08,10.51,178519.1,16.88,15.13,-11.44,44.54,73.68,0.2,13.8,0,2413.3,948.77,LC,SBILIFE,1,LC
https://www.screener.in/company/GRASIM/consolidated/,2574.4,11.78,46.27,54.46,1.8,175244.65,7.6,4.07,13.36,-34.45,19.37,0.09,7.34,1.91,7756.33,-57.2,LC,GRASIM,1,LC
https://www.screener.in/company/VEDL/consolidated/,448.05,17.62,12.55,38.33,4.25,174965.88,27,38.78,6.43,279.04,8.02,3.09,24.21,1.82,20535,85.97,LC,VEDL,1,LC
https://www.screener.in/company/DIVISLAB/consolidated/,6544.5,3.35,79.28,82.53,11.61,173692.68,20.44,15.35,19.31,36.69,56.68,0.19,18.06,0,2191,49.79,LC,DIVISLAB,1,LC
https://www.screener.in/company/HDFCLIFE/consolidated/,755.1,4.77,89.83,8.41,10.06,162659.49,7.43,11.75,-4.49,15.04,90.82,0.13,11.74,0.18,1810.82,1209.32,LC,HDFCLIFE,1,LC
https://www.screener.in/company/ADANIGREEN/consolidated/,1018.8,199.37,97,9.12,13.3,161421.44,8.7,14.61,21.61,31.75,510.64,0.15,15.87,6.59,2001,79.33,LC,ADANIGREEN,1,LC
https://www.screener.in/company/VBL/consolidated/,477,43.15,57.9,8.46,9.71,161194.46,24.85,22.49,29.09,28.64,66.68,0.39,24.98,0.17,2817.66,68.53,LC,VBL,1,LC
https://www.screener.in/company/BAJAJHLDNG/consolidated/,14251,4.37,24.33,585.9,2.53,158621.74,9.94,11.15,-59.79,-10.27,14.59,0.46,11.78,0,6625.7,-28.85,LC,BAJAJHLDNG,1,LC
https://www.screener.in/company/PIDILITIND/consolidated/,3049.8,11.97,74.11,40.82,15.9,155221.75,29.86,23.07,6.12,17.54,90.49,0.31,21.59,0.05,2096.17,70.22,LC,PIDILITIND,1,LC
https://www.screener.in/company/LTIM/consolidated/,5204,45.95,33.55,155.21,6.79,154270.9,27.63,21.53,7.01,0.36,34.45,0.64,26.95,0.1,4602,60.74,LC,LTIM,1,LC
https://www.screener.in/company/TECHM/consolidated/,1571.1,16.99,36.2,43.43,5.62,153890.7,20.08,15.74,1.91,80.44,26.33,0.43,16.31,0.07,4253,73.91,LC,TECHM,1,LC
https://www.screener.in/company/LODHA/consolidated/,1516,8.84,54.72,27.71,7.49,151249.72,15.62,14.69,33.57,70.82,49.65,0.27,11.48,0.35,2766.6,35.77,LC,LODHA,1,LC
