Name,CMP,ATH%,PE,EPS,PB,MCap,ROCE%,ROE%,Sales_Grwth%,Profit_Grwth%,MedPE,ROCE_5Yr%,ROE_5Yr%,Debt2EqR,PAT_12M,CFO_2_EBITDA%,CapType,Symbol,Latest
https://www.screener.in/company/ADANIPOWER/consolidated/,532.05,68.55,16.1,33.55,3.64,205208.44,22.52,25.63,11.62,-38.8,14.29,19.67,37.2,0.7,12749.61,59.02,LC,ADANIPOWER,0
https://www.screener.in/company/INDIGO/,5238.3,7.84,33.34,157.31,54.2,202499.7,24.53,,17.22,-15.52,23.36,1.82,,15.86,6073.8,119.94,LC,INDIGO,0
https://www.screener.in/company/IOC/consolidated/,137.86,42.75,16.05,9.63,1.07,194718.41,7.63,6.62,-2.35,-70.74,5.73,13.53,15.55,0.9,13788.83,172.3,LC,IOC,0
https://www.screener.in/company/GRASIM/consolidated/,2736.45,5.16,45.77,58.72,1.94,186209.71,9.3,6.9,10.44,-27.65,19.03,9.17,8.45,1.7,7934,-37.81,LC,GRASIM,0
https://www.screener.in/company/HINDZINC/,438.8,84.07,17.93,24.33,13.95,185427.81,60.81,72.52,17.4,33.03,15.34,44.24,37.77,0.82,10279,77.23,LC,HINDZINC,0
https://www.screener.in/company/TRENT/consolidated/,5172.5,61.35,120.08,43.51,33.67,184255.23,31.71,32.2,38.46,69.56,179.56,15.63,17.19,0.41,1534.41,54.22,LC,TRENT,0
https://www.screener.in/company/VBL/consolidated/,522.35,30.72,63.48,8.46,10.63,176718.54,24.85,22.49,29.09,28.64,66.71,21.76,24.98,0.17,2817.66,68.53,LC,VBL,0
https://www.screener.in/company/SBILIFE/,1761.7,9.89,73.21,24.08,10.4,176668.68,16.88,15.13,-11.44,44.54,73.45,15.46,13.8,0,2413.3,948.77,LC,SBILIFE,0
https://www.screener.in/company/TATASTEEL/consolidated/,140.08,31.78,61.78,2.19,1.94,174931.06,7.02,6.55,-5.33,46.4,17.31,13.79,13.81,1.1,2527.46,88.83,LC,TATASTEEL,0
https://www.screener.in/company/DLF/consolidated/,673.75,81.82,44.43,16.18,4.15,166761.47,5.74,6.95,21.79,58.15,56.92,4.64,4.27,0.11,4004.44,97.78,LC,DLF,0
https://www.screener.in/company/JIOFIN/consolidated/,260.42,51.56,102.63,2.54,1.34,165503.62,1.47,1.23,10.15,0.5,124.92,1.51,,0.03,1612.59,-510.01,LC,JIOFIN,0
https://www.screener.in/company/VEDL/consolidated/,419.2,25.72,11.75,38.33,3.98,163903.78,27,38.78,6.43,279.04,7.8,22.72,24.21,1.82,20535,77.48,LC,VEDL,0
https://www.screener.in/company/IRFC/,124.35,84.2,25,4.98,3.09,162545.29,5.83,12.77,1.9,1.4,6.87,5.4,13.94,7.83,6502,30.48,LC,IRFC,0
https://www.screener.in/company/DIVISLAB/consolidated/,6087,5.94,78.13,77.86,11.78,161487.62,16.48,12.17,21.15,49.46,56.01,25.51,18.91,0,2067,49.47,LC,DIVISLAB,0
https://www.screener.in/company/HDFCLIFE/consolidated/,743.7,4.3,88.52,8.41,9.91,160285.85,7.43,11.75,-4.49,15.04,90.64,11.12,11.74,0.18,1810.82,1209.32,LC,HDFCLIFE,0
https://www.screener.in/company/PIDILITIND/consolidated/,3031,12.67,76.94,38.43,17.69,154176.57,29.74,22.82,6,17.06,90.49,28.01,21.9,0.04,1972.94,95.79,LC,PIDILITIND,0
https://www.screener.in/company/EICHERMOT/consolidated/,5536.7,6.7,34.15,162.14,8,151752.9,31.14,24.23,11.2,15.81,36.77,23.59,18.84,0.02,4442.74,63.63,LC,EICHERMOT,0
https://www.screener.in/company/TECHM/consolidated/,1502.6,22.32,34.6,43.43,5.38,147103.6,20.08,15.74,1.91,80.44,25.13,20.59,16.31,0.07,4253,73.91,LC,TECHM,0
https://www.screener.in/company/ADANIGREEN/consolidated/,900.35,238.76,86.44,9.12,11.76,142695.72,8.21,15.03,21.61,30.7,515.16,8.71,16.26,6.59,2001,82.92,LC,ADANIGREEN,0
https://www.screener.in/company/HINDALCO/consolidated/,623.65,23.89,9.67,61.82,1.22,140125.77,11.29,10.15,6.38,54.44,12.12,11.44,10.87,0.53,13892,94.5,LC,HINDALCO,0
https://www.screener.in/company/HYUNDAI/,1707.6,15.37,23.3,,10.62,138658.54,51.41,39.58,14.69,27.73,,29.47,23.01,0.08,5954.31,87.46,LC,HYUNDAI,0
https://www.screener.in/company/LTIM/consolidated/,4568.65,66.25,29.45,155.21,5.97,135434.65,27.63,21.53,7.01,0.36,34.46,35.99,26.95,0.1,4602,60.74,LC,LTIM,0
https://www.screener.in/company/BPCL/consolidated/,310.15,21.23,9.88,30.74,1.65,134601.94,16.25,17.34,-1.74,-49.68,8.18,17.72,22.97,0.75,13336.55,80.51,LC,BPCL,0
https://www.screener.in/company/PFC/consolidated/,407,42.59,6.02,67.57,1.22,134346.63,9.85,21.33,16.48,18.53,3.19,9.18,20.15,8.27,29712.95,-106.78,LC,PFC,0
https://www.screener.in/company/AMBUJACEM/consolidated/,539.4,31.06,31.75,16.92,2.49,132823.57,10.61,8.81,5.68,23.74,29.87,13.39,9.78,0.01,5158.41,25.9,LC,AMBUJACEM,0
https://www.screener.in/company/BAJAJHLDNG/consolidated/,11936,10.91,17.68,674.91,2.22,132731.2,13.07,14.77,234.45,27.23,14.5,10.52,11.85,0,7591.08,25.78,LC,BAJAJHLDNG,0
https://www.screener.in/company/LODHA/consolidated/,1329.1,24.14,47.99,27.71,6.57,132662.86,15.62,14.69,33.57,70.82,49.37,10.52,11.48,0.35,2766.6,35.77,LC,LODHA,0
https://www.screener.in/company/BRITANNIA/consolidated/,5446.05,18.86,60.36,89.55,40.86,131156.49,48.92,57.14,5.12,0.72,55.09,44.18,49.27,0.86,2155.34,76.12,LC,BRITANNIA,0
https://www.screener.in/company/BANKBARODA/consolidated/,250,19.88,6.33,39.5,0.92,129396.47,6.33,16.69,10.63,8.15,7.59,4.97,9.87,11.13,20579.04,-6.44,LC,BANKBARODA,0
https://www.screener.in/company/GODREJCP/consolidated/,1260.8,22.29,74.81,-4.43,10.6,129016.61,19.02,-56.02,1.73,-7.82,56.16,18.53,-1.1,0.31,-452.9,65.41,LC,GODREJCP,0
https://www.screener.in/company/TVSMOTOR/consolidated/,2668.7,10.85,57.45,47.06,14.91,126814.65,19.43,28.88,12.63,35.32,50.15,13.84,24.52,1.73,2379.81,52.72,LC,TVSMOTOR,0
