Date,Investment
01-Apr-23,-500000
01-May-23,-1800000
01-Jun-23,-1300000
01-Jul-23,-800000
01-Sep-23,-2200000
01-Oct-23,-1088421
01-Nov-23,-200000
01-Dec-23,-200000
16-Jan-24,-50000
01-Feb-24,610000
