Type,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Latest,Stock,Max,Diff%
Sales,419.0,512.0,685.0,936.0,791.0,827.0,CLEAN,936.0,11.65
Profit,182.0,267.0,305.0,396.0,326.0,336.0,CLEAN,396.0,15.15
Sales,2552.0,888.0,626.0,994.0,1013.0,1026.0,COFFEEDAY,3889.0,73.62
Profit,1870.0,-820.0,-128.0,-382.0,-369.0,-403.0,COFFEEDAY,1870.0,121.55
Sales,4520.0,4804.0,5394.0,6870.0,7313.0,7574.0,CROMPTON,7574.0,0.0
Profit,591.0,724.0,752.0,612.0,573.0,621.0,CROMPTON,752.0,17.42
Sales,4230.0,4360.0,6802.0,7972.0,7682.0,8080.0,DEEPAKNTR,8080.0,0.0
Profit,806.0,1042.0,1434.0,1146.0,1102.0,1175.0,DEEPAKNTR,1434.0,18.06
Sales,1291.0,1307.0,1226.0,1130.0,1081.0,1055.0,DEN,1307.0,19.28
Profit,110.0,186.0,174.0,143.0,245.0,250.0,DEN,250.0,0.0
Sales,5394.0,6969.0,8960.0,7767.0,7845.0,8185.0,DIVISLAB,8960.0,8.65
Profit,1819.0,2666.0,3684.0,2369.0,2163.0,2275.0,DIVISLAB,3684.0,38.25
Sales,4400.0,6448.0,10697.0,12192.0,17691.0,20999.0,DIXON,20999.0,0.0
Profit,157.0,217.0,255.0,345.0,494.0,584.0,DIXON,584.0,0.0
Sales,6083.0,5414.0,5717.0,5695.0,6427.0,6366.0,DLF,8366.0,23.91
Profit,653.0,840.0,1165.0,1502.0,2151.0,2235.0,DLF,2235.0,0.0
Sales,24870.0,24143.0,30976.0,42840.0,50789.0,52993.0,DMART,52993.0,0.0
Profit,1745.0,1483.0,2064.0,3060.0,3461.0,3618.0,DMART,3618.0,0.0
Sales,367.0,106.0,282.0,773.0,1135.0,1189.0,DREAMFOLKS,1189.0,0.0
Profit,44.0,0.0,20.0,97.0,92.0,98.0,DREAMFOLKS,98.0,0.0
Sales,2655.0,2881.0,3192.0,3406.0,3578.0,3658.0,EMAMILTD,3658.0,0.0
Profit,374.0,569.0,688.0,670.0,791.0,820.0,EMAMILTD,820.0,0.0
Sales,1074.0,1212.0,1347.0,1685.0,2009.0,2262.0,ERIS,2262.0,0.0
Profit,331.0,394.0,442.0,405.0,431.0,434.0,ERIS,442.0,1.81
Sales,14471.0,10359.0,12789.0,15078.0,16770.0,16960.0,EXIDEIND,16960.0,0.0
Profit,972.0,1068.0,4623.0,1138.0,1231.0,1243.0,EXIDEIND,4623.0,73.11
Sales,8678.0,8435.0,7959.0,9975.0,14495.0,15452.0,FEDERALBNK,15452.0,0.0
Profit,2060.0,2209.0,2646.0,4263.0,5261.0,5463.0,FEDERALBNK,5463.0,0.0
Sales,2877.0,2768.0,3768.0,4481.0,5014.0,5041.0,FINCABLES,5041.0,0.0
Profit,512.0,631.0,787.0,649.0,864.0,972.0,FINCABLES,972.0,0.0
Sales,306.0,426.0,500.0,447.0,623.0,685.0,GEOJITFSL,685.0,0.0
Profit,70.0,165.0,202.0,119.0,192.0,223.0,GEOJITFSL,223.0,0.0
Sales,50345.0,48583.0,48967.0,46638.0,45375.0,47096.0,GICRE,50345.0,6.45
Profit,-366.0,3069.0,3755.0,8031.0,7925.0,8261.0,GICRE,8261.0,0.0
Sales,11291.0,9334.0,14130.0,16740.0,16601.0,16343.0,GODREJIND,16740.0,2.37
Profit,1083.0,617.0,1282.0,1681.0,964.0,1451.0,GODREJIND,1681.0,13.68
Sales,68252.0,76404.0,95701.0,117627.0,130978.0,133774.0,GRASIM,133774.0,0.0
Profit,6554.0,10009.0,13143.0,14727.0,13700.0,13238.0,GRASIM,14727.0,10.11
Sales,698.0,773.0,1094.0,1429.0,1625.0,1698.0,HAPPSTMNDS,1698.0,0.0
Profit,74.0,186.0,246.0,310.0,335.0,324.0,HAPPSTMNDS,335.0,3.28
Sales,1798.0,1732.0,1793.0,1858.0,1981.0,1984.0,HATHWAY,1984.0,0.0
Profit,110.0,279.0,156.0,90.0,142.0,136.0,HATHWAY,279.0,51.25
Sales,29254.0,30959.0,29551.0,34158.0,37789.0,39148.0,HEROMOTOCO,39148.0,0.0
Profit,4611.0,3849.0,3058.0,3864.0,5090.0,5516.0,HEROMOTOCO,5516.0,0.0
Sales,1806.0,1679.0,2791.0,4172.0,4185.0,4434.0,HSCL,4434.0,0.0
Profit,194.0,65.0,53.0,280.0,574.0,634.0,HSCL,634.0,0.0
Sales,118144.0,132008.0,195059.0,223202.0,215962.0,219984.0,HINDALCO,223202.0,1.44
Profit,5924.0,6206.0,19103.0,13241.0,14012.0,15543.0,HINDALCO,19103.0,18.64
Sales,257.0,318.0,431.0,401.0,449.0,469.0,IEX,469.0,0.0
Profit,226.0,270.0,405.0,402.0,466.0,493.0,IEX,493.0,0.0
Sales,6485.0,4941.0,7710.0,14146.0,14000.0,14126.0,IGL,14146.0,0.14
Profit,1556.0,1422.0,1953.0,2122.0,2542.0,2489.0,IGL,2542.0,2.08
Sales,35756.0,14641.0,25931.0,54446.0,68904.0,71792.0,INDIGO,71792.0,0.0
Profit,-256.0,-5818.0,-6154.0,-304.0,8049.0,7763.0,INDIGO,8049.0,3.55
